Nome_Departamento,Nome_Secao,Nome_Grupo,Nome_SubGrupo,NomeLoja,NomeAssociado,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual Trigger,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd,A.V. Venda Anterior,A.V. Venda Atual
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,SAO LUCAS - V.REDONDA,FLORESTA,,59,,,7,,,"29,45 %","29,45",,"1,01",,,"58,61",,,"0,71 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,SARACURUNA,GMAP,57,,"-100,00 %",7,,"-100,00 %","16,92 %",,"-16,92","0,42",,"-100,00 %","134,05",,"-100,00 %","0,12 %",
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,SAVIO GAMA - V.REDOND,FLORESTA,243,17,"-93,00 %",39,2,"-94,87 %","29,37 %","29,45 %","0,08","5,00","0,43","-91,33 %","48,50","39,18","-19,21 %","0,85 %","0,05 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,SENADOR CAMARA,GMAP,33,,"-100,00 %",3,,"-100,00 %","32,75 %",,"-32,75","0,45",,"-100,00 %","72,89",,"-100,00 %","0,10 %",
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,TAMOIOS UNAMAR,ALVORADA,506,209,"-58,72 %",50,23,"-54,00 %","32,21 %","35,01 %","2,80","3,79","1,07","-71,67 %","133,55","194,56","45,68 %","1,09 %","0,63 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,TANGUA,ALVORADA,56,,"-100,00 %",6,,"-100,00 %","34,31 %",,"-34,31","1,23",,"-100,00 %","45,64",,"-100,00 %","0,21 %",
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,TANUS BEDRAN,GMAP,151,,"-100,00 %",15,,"-100,00 %","34,71 %",,"-34,71","1,57",,"-100,00 %","96,24",,"-100,00 %","0,65 %",
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,TAQUARA,TORRE,500,1422,"184,30 %",89,118,"32,58 %","33,54 %","32,92 %","-0,62","8,65","10,81","25,02 %","57,82","131,49","127,41 %","1,08 %","3,32 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,TIJUCA,TORRE,1113,1878,"68,72 %",195,189,"-3,08 %","32,89 %","33,43 %","0,54","31,38","23,82","-24,11 %","35,46","78,85","122,32 %","2,06 %","3,74 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,TRINDADE,ALVORADA,22,,"-100,00 %",5,,"-100,00 %","35,70 %",,"-35,70","0,57",,"-100,00 %","38,76",,"-100,00 %","0,12 %",
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,V.DOS TELES S.J.MERITI,GMAP,110,31,"-71,54 %",11,3,"-72,73 %","35,05 %","32,64 %","-2,41","0,68","0,22","-67,83 %","160,72","142,19","-11,53 %","0,21 %","0,07 %"
